trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",20,0,-157.57004542626063,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
2,False,"{'a': 0.001, 'e': 0.999000499833375}",25,7,-43.436300737731045,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 0}",1
3,False,"{'a': 0.001, 'e': 0.9980019986673331}",25,0,-99.94415869048918,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
4,False,"{'a': 0.001, 'e': 0.997004495503373}",25,0,-117.63676461135958,"{0: 16, 1: 1, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.001, 'e': 0.9960079893439915}",30,3,-132.4308458136569,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 2}",1
6,False,"{'a': 0.001, 'e': 0.9950124791926823}",20,0,-34.313740831207866,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
7,False,"{'a': 0.001, 'e': 0.9940179640539353}",25,0,-197.73196704499256,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 3}",0
8,False,"{'a': 0.001, 'e': 0.9930244429332351}",25,0,-244.80031054532148,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 5}",0
9,False,"{'a': 0.001, 'e': 0.9920319148370607}",25,0,-119.90239510272625,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
10,False,"{'a': 0.001, 'e': 0.9910403787728836}",25,1,-107.10722773290492,"{0: 15, 1: 5, 2: 2, 3: 0, 4: 2}",1
11,False,"{'a': 0.001, 'e': 0.9900498337491681}",20,0,-84.98382531684197,"{0: 13, 1: 1, 2: 3, 3: 3, 4: 0}",0
12,False,"{'a': 0.001, 'e': 0.9890602787753687}",30,0,-104.9448425229764,"{0: 17, 1: 4, 2: 8, 3: 1, 4: 0}",0
13,False,"{'a': 0.001, 'e': 0.9880717128619305}",25,0,-143.75077252504724,"{0: 15, 1: 0, 2: 8, 3: 0, 4: 2}",0
14,False,"{'a': 0.001, 'e': 0.9870841350202876}",20,0,-50.744843022334756,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.001, 'e': 0.9860975442628619}",25,0,-190.02388008046245,"{0: 11, 1: 6, 2: 3, 3: 3, 4: 2}",0
16,False,"{'a': 0.001, 'e': 0.9851119396030626}",25,0,-153.3772607210112,"{0: 13, 1: 2, 2: 8, 3: 0, 4: 2}",0
17,False,"{'a': 0.001, 'e': 0.9841273200552851}",25,0,-208.07409827508357,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
18,False,"{'a': 0.001, 'e': 0.9831436846349096}",25,0,-74.08183811160399,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
19,False,"{'a': 0.001, 'e': 0.9821610323583008}",20,0,-160.71570713933738,"{0: 9, 1: 3, 2: 4, 3: 2, 4: 2}",0
20,False,"{'a': 0.001, 'e': 0.981179362242806}",25,0,-135.6791085322016,"{0: 14, 1: 3, 2: 4, 3: 3, 4: 1}",0
21,False,"{'a': 0.001, 'e': 0.9801986733067553}",20,0,-145.37002626943962,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
22,False,"{'a': 0.001, 'e': 0.9792189645694596}",30,0,-166.77174891184174,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
23,False,"{'a': 0.001, 'e': 0.97824023505121}",20,0,-191.86724995493847,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 4}",0
24,False,"{'a': 0.001, 'e': 0.9772624837732771}",30,12,-55.26198144220458,"{0: 12, 1: 4, 2: 1, 3: 0, 4: 1}",1
25,False,"{'a': 0.001, 'e': 0.9762857097579093}",25,0,-100.6662178498174,"{0: 13, 1: 4, 2: 7, 3: 1, 4: 0}",0
26,False,"{'a': 0.001, 'e': 0.9753099120283326}",20,0,-175.01920744586874,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
27,False,"{'a': 0.001, 'e': 0.9743350896087494}",20,0,-79.0551028208416,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
28,False,"{'a': 0.001, 'e': 0.9733612415243368}",20,0,-65.16525757632526,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.001, 'e': 0.9723883668012469}",20,0,-152.21312571445128,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
30,False,"{'a': 0.001, 'e': 0.9714164644666048}",25,0,-78.18917897489568,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
31,False,"{'a': 0.001, 'e': 0.9704455335485082}",30,0,-128.73553797504258,"{0: 18, 1: 4, 2: 5, 3: 2, 4: 1}",0
32,False,"{'a': 0.001, 'e': 0.9694755730760259}",20,0,-186.86457471696906,"{0: 9, 1: 5, 2: 1, 3: 2, 4: 3}",0
33,False,"{'a': 0.001, 'e': 0.9685065820791976}",25,0,-120.96035839191852,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
34,False,"{'a': 0.001, 'e': 0.967538559589032}",20,0,-82.2664729355055,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
35,False,"{'a': 0.001, 'e': 0.9665715046375066}",25,0,-90.0464531084011,"{0: 16, 1: 2, 2: 4, 3: 3, 4: 0}",0
36,False,"{'a': 0.001, 'e': 0.9656054162575665}",25,0,-113.87533835869729,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
37,False,"{'a': 0.001, 'e': 0.9646402934831231}",25,0,-98.65977347545093,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
38,False,"{'a': 0.001, 'e': 0.9636761353490535}",20,0,-169.5756013797873,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
39,False,"{'a': 0.001, 'e': 0.9627129408911995}",20,0,-67.61744051484332,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
40,False,"{'a': 0.001, 'e': 0.9617507091463667}",20,0,-119.35223126186536,"{0: 10, 1: 3, 2: 5, 3: 1, 4: 1}",0
41,False,"{'a': 0.001, 'e': 0.9607894391523232}",30,0,-160.6251874720218,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
42,False,"{'a': 0.001, 'e': 0.9598291299477989}",20,0,-185.23692435707218,"{0: 12, 1: 1, 2: 3, 3: 0, 4: 4}",0
43,False,"{'a': 0.001, 'e': 0.9588697805724845}",25,0,-214.60178148359984,"{0: 14, 1: 1, 2: 6, 3: 0, 4: 4}",0
44,False,"{'a': 0.001, 'e': 0.9579113900670306}",20,10,-51.853963664474904,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
45,False,"{'a': 0.001, 'e': 0.9569539574730467}",20,0,-56.22707963284694,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
46,False,"{'a': 0.001, 'e': 0.9559974818331}",25,0,-140.72710639646868,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
47,False,"{'a': 0.001, 'e': 0.9550419621907147}",25,0,-224.2780457535385,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
48,False,"{'a': 0.001, 'e': 0.9540873975903711}",20,0,-86.88369759696008,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
49,False,"{'a': 0.001, 'e': 0.9531337870775047}",20,0,-55.42912755870724,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
50,False,"{'a': 0.001, 'e': 0.9521811296985049}",20,0,-186.4169096715838,"{0: 10, 1: 0, 2: 6, 3: 1, 4: 3}",0
51,False,"{'a': 0.001, 'e': 0.951229424500714}",20,6,-74.47751146609247,"{0: 10, 1: 0, 2: 1, 3: 2, 4: 1}",1
52,False,"{'a': 0.001, 'e': 0.950278670532427}",20,0,-124.06637172356687,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
53,False,"{'a': 0.001, 'e': 0.9493288668428895}",25,0,-167.5752637595732,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
54,False,"{'a': 0.001, 'e': 0.9483800124822982}",20,0,-56.29686831262753,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.001, 'e': 0.9474321065017983}",25,0,-164.00055467918344,"{0: 11, 1: 7, 2: 4, 3: 1, 4: 2}",0
56,False,"{'a': 0.001, 'e': 0.9464851479534838}",30,6,-60.026513384638946,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 1}",1
57,False,"{'a': 0.001, 'e': 0.9455391358903963}",20,0,-61.24442961502865,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.001, 'e': 0.9445940693665233}",20,0,-55.463426022296254,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
59,False,"{'a': 0.001, 'e': 0.9436499474367985}",25,0,-103.25643712915266,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
60,False,"{'a': 0.001, 'e': 0.9427067691570997}",30,0,-136.2781553491577,"{0: 19, 1: 2, 2: 6, 3: 2, 4: 1}",0
61,False,"{'a': 0.001, 'e': 0.9417645335842487}",35,13,-28.139625410232977,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 0}",1
62,False,"{'a': 0.001, 'e': 0.9408232397760097}",30,0,-160.7513698404517,"{0: 17, 1: 4, 2: 6, 3: 1, 4: 2}",0
63,False,"{'a': 0.001, 'e': 0.9398828867910889}",35,0,-152.5102406826043,"{0: 22, 1: 3, 2: 6, 3: 3, 4: 1}",0
64,False,"{'a': 0.001, 'e': 0.9389434736891332}",25,16,-40.00502743879258,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
65,False,"{'a': 0.001, 'e': 0.9380049995307295}",25,0,-118.29577227248463,"{0: 17, 1: 2, 2: 3, 3: 1, 4: 2}",0
66,False,"{'a': 0.001, 'e': 0.9370674633774034}",25,10,-75.6113894155069,"{0: 9, 1: 0, 2: 5, 3: 0, 4: 1}",1
67,False,"{'a': 0.001, 'e': 0.9361308642916188}",20,0,-95.47806140406225,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
68,False,"{'a': 0.001, 'e': 0.9351952013367766}",25,0,-70.43252764376201,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 1}",0
69,False,"{'a': 0.001, 'e': 0.9342604735772135}",30,9,-116.77412985086421,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 2}",1
70,False,"{'a': 0.001, 'e': 0.933326680078202}",20,0,-67.10465208587361,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
