trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-106.55981814420814,"{0: 14, 1: 6, 2: 3, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 1.0}",35,0,-171.87246377392174,"{0: 18, 1: 4, 2: 11, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-111.91190666601769,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,0,-34.759661145176665,"{0: 20, 1: 0, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",25,0,-172.08323689608503,"{0: 11, 1: 5, 2: 6, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 1.0}",30,0,-262.40030591872153,"{0: 18, 1: 2, 2: 3, 3: 2, 4: 5}",0
7,False,"{'a': 0.5, 'e': 1.0}",35,0,-159.14403295560334,"{0: 19, 1: 5, 2: 9, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",20,0,-94.23335917498055,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-267.88899180607007,"{0: 7, 1: 6, 2: 7, 3: 1, 4: 4}",0
10,False,"{'a': 0.5, 'e': 1.0}",20,7,-66.95287963340311,"{0: 7, 1: 3, 2: 2, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-119.72712062462656,"{0: 15, 1: 4, 2: 4, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-189.40959190858723,"{0: 11, 1: 2, 2: 9, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,0,-272.33027085185216,"{0: 14, 1: 2, 2: 8, 3: 2, 4: 4}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,9,-6.579604647468807,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-70.3859437490238,"{0: 20, 1: 4, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.54720246422691,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-158.95708975353907,"{0: 14, 1: 2, 2: 6, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,7,-46.129335599619054,"{0: 7, 1: 3, 2: 2, 3: 1, 4: 0}",1
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.4369512795668,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-100.94553618776304,"{0: 8, 1: 6, 2: 4, 3: 2, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-173.12379523491433,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",25,0,-165.72076855390816,"{0: 16, 1: 0, 2: 5, 3: 1, 4: 3}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-65.25326217100672,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,13,-22.25748582103561,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 0}",1
5,True,"{'a': 0.5, 'e': 1.0}",20,0,-93.36885530773449,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-130.02798697136845,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-52.35193318168992,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-174.62834465053277,"{0: 12, 1: 3, 2: 7, 3: 1, 4: 2}",0
9,True,"{'a': 0.5, 'e': 1.0}",25,10,-33.84913510697807,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
10,True,"{'a': 0.5, 'e': 1.0}",20,0,-154.07099078622315,"{0: 12, 1: 2, 2: 2, 3: 1, 4: 3}",0
